INCIDENT_CAUSE,CLAIM_STATUS,ODOMETER_AT_LOSS,LOSS_EVENT_TIME,CLAIM_INIT_TIME,POLICE_REPORT,CLAIMS_AT_LOSS_DATE,LOSS_LOCATION_LAT,LOSS_LOCATION_LONG,CLAIM_AMOUNT,FLAG_FOR_FRAUD_INV,START_DATE,EXPIRY_DATE,MODEL_YEAR,MAKE,MODEL,INITIAL_ODOMETER,LOW_MILEAGE_USE,COMMUTE_DISCOUNT,EXCESSIVE_CLAIM_AMOUNT
2,3,251644.8,2018-07-10,7/18/18,1,1,42.00593081,-87.68066049,3427,0,4/10/17,4/10/18,2007,Nissan,Rogue,237900,0,0,0
2,1,300279.3,2017-07-29,8/10/17,0,1,41.69340052,-87.61232172,35385.5,1,11/25/16,11/25/17,2004,Chevrolet,Camaro,294552,0,0,1
2,3,73419.5,2017-12-30,1/3/18,0,1,41.84014456,-87.66133946,1570,0,4/6/16,4/6/17,2010,Honda,HR-V,68880,1,0,0
2,3,118923.9,2018-01-16,1/28/18,0,1,41.97517487,-87.7683442,2370,0,11/21/17,11/21/18,2007,Jeep,Renegade,107052,1,0,0
1,1,182681.3,2017-04-25,5/7/17,1,1,41.89017255,-87.64999164,26250,1,7/23/16,7/23/17,2009,Chevrolet,Equinox,177168,0,0,1
5,1,160429.9,2018-02-10,2/19/18,1,3,41.84065787,-87.72589914,25830,1,7/11/17,7/11/18,2011,Nissan,Versa,155820,0,0,1
2,1,165363.7,2018-01-23,1/24/18,1,4,41.88470505,-87.66704583,23483,1,4/23/17,4/23/18,2010,Hyundai,Tucson,159408,0,0,1
5,3,240639.2,2016-12-01,12/10/16,1,1,41.73618257,-87.64365982,2173.5,0,8/20/15,8/19/16,2005,Chevrolet,Express,228228,0,0,0
4,3,388591.3,2017-07-12,7/12/17,1,1,41.76203035,-87.61169575,1750,0,4/17/16,4/17/17,2001,Dodge,Ram,379584,0,0,0
1,1,59498.7,2016-01-06,1/8/16,1,1,42.00642207,-87.67812041,20310,1,4/18/15,4/17/16,2013,Kia,Optima,57024,0,0,1
1,3,94043.6,2018-10-13,10/25/18,0,1,41.81360176,-87.704338,2810,0,10/1/17,10/1/18,2014,Chevrolet,Colorado,81624,0,0,0
4,3,69305.4,2017-07-19,7/19/17,1,1,41.9969237,-87.80694519,2370,0,3/6/16,3/6/17,2014,Mazda,CX-5,58644,0,0,0
5,3,207764.4,2018-11-04,11/13/18,0,1,41.95222752,-87.72742482,1320,0,1/14/17,1/14/18,2008,Chevrolet,Silverado,206640,0,0,0
5,1,302710,2017-05-31,6/12/17,0,5,41.9768951,-87.69227967,30840,1,4/4/16,4/4/17,2001,Acura,MDX,301680,0,0,1
4,3,109080,2017-03-01,3/13/17,0,3,41.88078079,-87.73023238,1230.5,0,5/20/16,5/20/17,2012,Dodge,Ram,101292,0,0,0
4,3,69640.2,2018-09-05,9/11/18,0,1,41.89275285,-87.76070937,1020,0,7/11/17,7/11/18,2015,Toyota,Prius,57780,0,0,0
2,2,281332.9,2018-12-14,12/19/18,1,1,41.9383457,-87.71230667,2470,0,5/17/17,5/17/18,2004,Honda,CR-V,276972,0,0,0
1,1,176864.1,2016-07-14,7/25/16,0,2,41.90643022,-87.64830557,31020,1,8/23/15,8/22/16,2008,Hyundai,Tucson,169824,0,0,1
3,3,223253.6,2018-11-26,11/30/18,0,1,41.89078197,-87.63125181,1890,0,2/8/17,2/8/18,2009,Toyota,Corolla,212976,0,0,0
3,3,139853.9,2018-07-20,7/20/18,0,1,41.89244415,-87.63720038,1932,0,8/3/17,8/3/18,2012,Hyundai,Tucson,134940,0,0,0
1,3,210844.5,2016-09-24,9/26/16,0,1,41.8181867,-87.7433186,1730,0,7/25/15,7/24/16,2005,Kia,Forte,199452,0,0,0
2,3,282275.4,2016-08-06,8/20/16,0,3,41.88241054,-87.63721144,2170,0,9/15/15,9/14/16,2004,Ford,E-Series,276624,0,0,0
1,1,224281.5,2017-12-27,12/29/17,1,2,41.93136196,-87.72315142,20380,1,6/27/16,6/27/17,2007,Dodge,Ram,222168,0,0,1
5,1,246553.7,2017-10-07,10/10/17,1,1,41.81920073,-87.68457036,36190,1,3/16/16,3/16/17,2006,Toyota,Camry,245400,0,0,1
3,1,193096,2018-03-30,3/30/18,1,1,41.90191323,-87.70164516,27370,1,5/25/17,5/25/18,2008,Chevrolet,Traverse,188184,0,0,1
2,3,68251,2016-02-27,3/2/16,0,1,41.88332815,-87.62846744,2280,0,6/22/15,6/21/16,2010,Ford,Explorer,61920,1,0,0
1,3,163689.5,2017-12-28,1/9/18,0,3,41.84415759,-87.72469381,2360,0,5/27/16,5/27/17,2010,Honda,CR-V,163044,0,1,0
5,1,434090,2018-04-10,4/14/18,1,1,41.68942688,-87.65875179,34490,1,6/5/17,6/5/18,1998,Nissan,Sentra,432000,0,0,1
3,1,40609.9,2017-04-27,5/10/17,1,1,42.0004435,-87.66085935,30350,1,3/25/16,3/25/17,2014,Toyota,Corolla,28386,1,0,1
3,1,241219.8,2016-04-27,5/5/16,1,3,41.86730472,-87.64397388,27310,1,9/20/15,9/19/16,2004,Kia,Optima,234144,0,0,1
1,1,243194.9,2016-07-04,7/7/16,1,3,41.93457199,-87.78566027,25210,1,10/21/15,10/20/16,2004,Chevrolet,Camaro,233424,0,0,1
5,2,50221.6,2018-12-07,12/10/18,1,1,41.89506294,-87.7530869,2950,0,3/26/17,3/26/18,2016,Chevrolet,Colorado,36720,0,0,0
2,3,347421,2016-09-18,9/29/16,0,1,41.86252459,-87.64213178,1210,0,5/19/15,5/18/16,1998,Subaru,Impreza,339984,0,0,0
5,1,93436.3,2017-11-07,11/21/17,1,1,41.77455256,-87.68336926,19340,1,5/21/16,5/21/17,2013,Toyota,Rav-4,84348,0,0,1
1,3,42931.6,2017-05-26,6/2/17,0,3,41.89679903,-87.70315361,2560,0,3/27/16,3/27/17,2015,Hyundai,Sonata,40212,0,0,0
1,3,86881.4,2017-11-24,12/2/17,0,1,41.88770538,-87.62058814,2550,0,4/3/16,4/3/17,2013,Nissan,Altima,79524,0,0,0
2,3,47333.9,2018-10-01,10/1/18,0,1,41.70344854,-87.68138191,1350,0,7/1/17,7/1/18,2016,Toyota,Corolla,37872,0,0,0
3,3,245549,2018-03-20,3/24/18,0,4,41.92834542,-87.6684029,1180,0,6/2/17,6/2/18,2008,Buick,Enclave,232920,0,0,0
5,1,45802.6,2017-01-26,2/4/17,0,1,41.80107195,-87.58174032,34994.5,1,7/17/16,7/17/17,2015,Kia,Soul,44904,0,0,1
5,3,251473.2,2016-11-17,11/18/16,0,1,41.8776941,-87.75352928,16680,0,8/19/15,8/18/16,2004,GMC,Sierra,238752,0,0,1
3,1,45797.8,2017-05-26,6/5/17,1,3,42.00830436,-87.67818538,14480,1,7/14/16,7/14/17,2015,Ford,F-150,42864,0,0,1
1,3,88939.1,2016-11-28,12/2/16,1,1,41.93064372,-87.68536822,1817,0,1/22/15,1/22/16,2012,Ford,E-Series,77328,0,0,0
1,3,255525.6,2018-07-12,7/15/18,0,1,41.96457585,-87.74287565,2780,0,6/24/17,6/24/18,2007,Nissan,Pathfinder,254364,0,0,0
3,3,262087.5,2016-02-07,2/20/16,1,1,41.69954742,-87.64275192,2480,0,9/26/15,9/25/16,2004,Dodge,Ram,251424,0,0,0
5,3,356670.1,2018-05-06,5/17/18,0,1,41.72258206,-87.57504199,1173,0,7/18/17,7/18/18,2001,Honda,Pilot,348132,0,0,0
1,1,248401.6,2017-09-30,10/9/17,0,1,41.73153777,-87.58567864,21920,1,5/21/16,5/21/17,2006,Chrysler,300,242628,0,0,1
3,1,247662.7,2018-03-13,3/13/18,1,2,41.89713934,-87.7361474,33080,1,1/16/17,1/16/18,2007,Mazda,CX-5,237732,0,0,1
4,3,201218.5,2017-04-15,4/24/17,0,1,41.73600895,-87.65571261,1510,0,5/13/16,5/13/17,2008,Toyota,Tacoma,198636,0,0,0
2,1,77539.8,2018-02-26,3/11/18,1,1,41.9471065,-87.68811976,35920,1,4/5/17,4/5/18,2015,GMC,Sierra,66900,0,0,1
5,1,414306.8,2018-01-19,2/1/18,0,1,41.9140602,-87.74602773,20230,1,4/22/17,4/22/18,2000,Audi,Q5,400860,0,0,1
2,3,149077.6,2016-11-08,11/8/16,0,1,41.88579694,-87.64570081,2170,0,10/14/15,10/13/16,2010,GMC,Acadia,136728,0,0,0
5,1,325260.6,2016-09-28,10/4/16,0,1,41.8912077,-87.64893961,34200,1,2/8/15,2/8/16,2000,Dodge,Grand Caravan,313728,0,0,1
1,3,34151.1,2016-10-31,11/14/16,0,1,41.87195364,-87.76334923,2277,0,10/4/15,10/3/16,2013,Chevrolet,Silverado,32148,1,0,0
1,3,349263.8,2018-05-28,6/3/18,0,1,41.90080611,-87.61972396,2850,0,11/2/17,11/2/18,2000,Dodge,Ram,339120,0,0,0
1,3,58439.6,2016-01-12,1/20/16,0,1,41.81674857,-87.61646799,1550,0,1/10/15,1/10/16,2013,Dodge,Ram,54072,0,0,0
2,3,70700.8,2017-05-19,6/1/17,0,1,41.72984108,-87.60480693,1450,0,9/5/16,9/5/17,2014,Ford,F-150,55728,0,0,0
1,1,63610.2,2017-11-26,12/1/17,0,1,41.86347978,-87.68928558,31450,1,3/20/17,3/20/18,2015,Jeep,Wrangler,57456,0,0,1
2,1,371183.8,2016-08-26,9/1/16,1,5,41.84714751,-87.64633938,13100,1,10/3/15,10/2/16,1998,Ford,F-150,370656,0,0,1
2,3,67792.3,2016-10-12,10/20/16,0,1,41.81679293,-87.59494802,1490,0,2/1/15,2/1/16,2013,Dodge,Grand Caravan,61488,0,1,0
3,3,444121.7,2017-04-04,4/12/17,1,1,41.87409237,-87.66647809,1110,0,4/25/16,4/25/17,1995,Ford,Mustang,436392,0,0,0
2,1,76181.7,2018-04-19,5/2/18,1,1,41.92512769,-87.66204067,19676.5,1,3/25/17,3/25/18,2015,Ford,Expedition,66324,0,0,1
4,1,346425.5,2016-02-29,3/9/16,0,1,41.77965209,-87.65942423,24713.5,1,8/25/15,8/24/16,1998,Kia,Sorento,344520,0,1,1
2,3,174227.7,2017-02-16,2/17/17,0,3,41.84665185,-87.64791126,2150,0,10/4/16,10/4/17,2010,Chrysler,Pacifica,161700,0,0,0
2,3,148301.5,2018-06-01,6/14/18,0,1,41.78487905,-87.69491794,2000,0,8/13/17,8/13/18,2012,Kia,Forte,138312,0,0,0
3,3,199855.1,2017-10-28,11/3/17,0,2,41.96134343,-87.69835838,1630,0,4/12/16,4/12/17,2007,Dodge,Ram,187572,0,0,0
1,3,234182.9,2018-11-28,12/6/18,0,1,41.88222375,-87.75809921,1330,0,10/16/17,10/16/18,2006,Honda,Civic,225132,0,0,0
3,3,142857.4,2018-08-09,8/14/18,0,2,41.83105838,-87.61678193,1170,0,7/7/17,7/7/18,2012,Mercedes,GLC,138252,0,0,0
4,1,74820.6,2017-11-25,12/6/17,1,3,41.93506582,-87.71742429,16480,1,3/3/16,3/3/17,2013,Chevrolet,Malibu,73644,0,0,1
5,1,126227,2017-07-30,8/13/17,1,1,41.92027338,-87.78031813,30230,1,4/11/16,4/11/17,2012,Ford,Explorer,117348,0,0,1
1,3,66583.4,2018-09-14,9/25/18,1,1,41.89089442,-87.62019212,2090,0,1/27/17,1/27/18,2015,Nissan,Frontier,57252,0,0,0
1,3,165993.5,2017-10-05,10/15/17,1,1,41.99767708,-87.69924898,1320,0,10/19/16,10/19/17,2000,Chevrolet,Cruze,159018,1,0,0
3,1,251135.4,2018-08-27,9/5/18,1,5,41.90809991,-87.63476376,41320,1,1/2/17,1/2/18,2005,Toyota,Corolla,240588,0,0,1
3,1,240903.7,2018-03-06,3/12/18,0,2,41.77775486,-87.65066077,31740,1,8/15/17,8/15/18,2007,Jeep,Cherokee,236016,0,0,1
5,1,434497.7,2017-07-10,7/21/17,1,1,41.90359031,-87.65921321,33400,1,9/11/16,9/11/17,1998,Chrysler,Pacifica,425172,0,0,1
3,1,364482.8,2017-03-28,3/28/17,1,1,41.88411405,-87.61476242,30080,1,10/4/16,10/4/17,2002,Chevrolet,Camaro,357480,0,1,1
4,3,69086.7,2017-09-07,9/13/17,1,1,41.97240949,-87.75397937,2460,0,2/19/16,2/18/17,2014,Mercedes,E class,59616,0,1,0
5,1,79847.5,2018-01-24,1/25/18,0,1,41.88993991,-87.6341743,14770,1,6/18/17,6/18/18,2014,Ford,Mustang,75660,0,0,1
4,3,113022.1,2018-09-11,9/22/18,1,1,41.83359679,-87.72413311,1780,0,8/15/17,8/15/18,2013,Ford,Fusion,100980,0,0,0
4,3,76872.2,2018-06-20,7/4/18,0,1,41.74429685,-87.58522947,1820,0,2/10/17,2/10/18,2015,Chevrolet,Silverado,65760,0,0,0
3,1,219131.7,2018-11-08,11/12/18,1,1,41.76400271,-87.71489464,24750,1,5/7/17,5/7/18,2007,Nissan,Sentra,217608,0,0,1
5,1,232789,2017-03-20,4/2/17,0,1,41.88091068,-87.62550911,23960,1,3/13/16,3/13/17,2007,Toyota,Camry,230628,0,1,1
2,3,142498.4,2017-04-23,5/2/17,0,1,41.76866087,-87.58787755,2410,0,3/4/16,3/4/17,2011,Acura,RDX,136404,0,0,0
3,3,105292.9,2016-05-11,5/25/16,0,1,41.86259342,-87.68577824,2840,0,4/16/15,4/15/16,2011,Chrysler,Pacifica,94980,0,1,0
1,1,167780.9,2016-12-08,12/20/16,1,3,41.92365236,-87.63989337,20033,1,10/3/15,10/2/16,2009,Toyota,Tacoma,155148,0,0,1
1,1,151474.3,2016-01-21,1/27/16,1,1,41.88036512,-87.7633382,16760,1,2/10/15,2/10/16,2010,Hyundai,Sonata,143856,0,0,1
5,3,246782,2016-09-09,9/11/16,0,1,41.91571189,-87.70218517,1370,0,2/12/15,2/12/16,2004,Mercedes,E class,238464,0,0,0
5,3,144581.9,2017-03-28,4/10/17,0,3,41.90044127,-87.68436645,2610.5,0,11/25/16,11/25/17,2003,Nissan,Sentra,129780,1,0,0
4,3,80003.2,2017-02-20,2/27/17,1,1,41.94522873,-87.81440018,2620,0,9/10/16,9/10/17,2013,GMC,Sierra,74256,0,0,0
5,1,145010.7,2017-04-12,4/23/17,1,1,41.83713685,-87.70467361,17664,1,5/18/16,5/18/17,2010,Honda,HR-V,141204,0,0,1
5,3,185685.9,2016-03-04,3/14/16,0,1,41.90953467,-87.74596768,1510,0,11/12/15,11/11/16,2008,Kia,Soul,184224,0,0,0
4,1,176372.9,2016-01-23,1/31/16,1,2,41.76915305,-87.66378819,36010,1,1/16/15,1/16/16,2008,Nissan,Sentra,171360,0,0,1
5,3,100102.6,2017-05-22,5/23/17,0,1,41.73686159,-87.5974451,2250,0,2/12/16,2/11/17,2012,Toyota,Tacoma,97344,0,0,0
2,3,201913.9,2017-02-07,2/18/17,1,1,41.69645644,-87.61548066,1530,0,1/25/16,1/24/17,2008,Chevrolet,Camaro,192936,0,0,0
5,1,77746.1,2018-06-01,6/6/18,1,1,42.00561454,-87.70917153,26320,1,11/10/17,11/10/18,2012,Subaru,Outback,65664,1,0,1
3,1,140478.8,2017-11-10,11/19/17,1,1,41.91638706,-87.64104135,33730,1,8/11/16,8/11/17,2010,Honda,HR-V,131952,0,0,1
1,3,80833.4,2016-03-14,3/14/16,0,1,41.75466012,-87.74138476,2980,0,8/19/15,8/18/16,2013,Honda,CR-V,68724,0,0,0
4,1,156166.4,2016-07-07,7/7/16,1,1,41.90061438,-87.6373528,17050,1,9/21/15,9/20/16,2009,Toyota,Tacoma,148428,0,0,1
5,1,230213.9,2016-03-12,3/21/16,0,3,41.7359383,-87.62977539,37290,1,8/24/15,8/23/16,2006,Ford,Explorer,223080,0,0,1
2,3,59188.4,2016-06-19,6/23/16,0,1,41.81754255,-87.69027516,2780,0,7/8/15,7/7/16,2014,GMC,Yukon,46152,0,0,0
2,3,63779,2017-06-15,6/21/17,0,3,41.98552593,-87.66137411,2890,0,1/3/16,1/2/17,2014,Toyota,Corolla,61008,0,0,0
3,3,229155.5,2018-08-19,8/24/18,0,1,41.88327121,-87.64507535,1590,0,2/11/17,2/11/18,2006,Nissan,Pathfinder,220464,0,0,0
1,3,71230.1,2017-10-29,11/6/17,0,1,41.77804765,-87.61571724,1860,0,10/6/16,10/6/17,2014,Ford,Edge,61200,0,1,0
2,3,261551.4,2018-01-10,1/18/18,0,1,41.77029026,-87.72240132,2702.5,0,4/7/17,4/7/18,2007,Kia,Optima,260916,0,0,0
2,3,257197.1,2017-02-02,2/11/17,0,1,41.69494895,-87.64231341,1850,0,7/16/16,7/16/17,2006,Toyota,Rav-4,255036,0,0,0
2,3,104793.7,2018-07-07,7/21/18,0,1,41.71423312,-87.64285698,2420,0,10/25/17,10/25/18,2013,Ford,Explorer,99120,0,0,0
5,3,320678.5,2018-03-07,3/11/18,0,1,41.97127601,-87.68914308,2430,0,10/18/17,10/18/18,2004,Honda,Pilot,309120,0,0,0
2,3,90598.9,2016-12-03,12/12/16,1,1,41.89451634,-87.71887163,14360,0,6/15/15,6/14/16,2012,GMC,Sierra,86544,0,0,1
5,3,214386.8,2016-02-21,2/25/16,0,1,41.75331874,-87.73006973,1080,0,10/24/15,10/23/16,2006,Ford,Escape,208200,0,0,0
4,3,51278.6,2018-11-27,12/8/18,1,1,41.9062753,-87.75820516,2170,0,2/1/17,2/1/18,2014,Honda,HR-V,40128,1,0,0
2,3,47082.7,2016-05-28,6/6/16,0,1,41.87384723,-87.68608757,2290,0,7/22/15,7/21/16,2014,Chevrolet,Silverado,41928,0,0,0
3,3,46993.7,2018-08-18,8/25/18,1,1,41.87457106,-87.63501396,15440,0,5/26/17,5/26/18,2016,Toyota,Camry,41988,0,1,1
1,1,49307.9,2018-09-14,9/21/18,1,1,41.97985841,-87.65522996,21160,1,5/2/17,5/2/18,2016,Honda,CR-V,38832,0,0,1
5,3,257546.5,2018-10-06,10/10/18,0,1,41.87677249,-87.64778829,2320,0,1/16/17,1/16/18,2005,Ford,Transit,256776,0,0,0
5,1,140259.4,2016-02-08,2/21/16,0,1,41.85584468,-87.68341968,29083.5,1,3/18/15,3/17/16,2010,Hyundai,Sonata,131472,0,0,1
4,3,359871.4,2016-10-19,10/27/16,0,3,41.70629866,-87.68846006,3105,0,4/5/15,4/4/16,1999,Nissan,Versa,348228,0,0,0
3,1,185755,2017-03-01,3/13/17,0,4,41.75341322,-87.69781793,17590,1,6/18/16,6/18/17,2009,Ford,F-150,176472,0,0,1
1,3,66630.4,2017-12-08,12/20/17,0,1,41.83436696,-87.64147035,1750,0,9/21/16,9/21/17,2014,Ford,Focus,64416,0,0,0
1,3,125245.2,2017-08-15,8/15/17,0,1,41.91010241,-87.71682443,2450,0,6/9/16,6/9/17,2011,Ford,Escape,118008,0,0,0
3,3,294708,2018-05-21,5/22/18,0,1,41.77126708,-87.7224264,1450,0,4/4/17,4/4/18,2005,Toyota,Tacoma,285732,0,0,0
3,1,31587.5,2016-03-01,3/9/16,1,1,42.00439025,-87.66301635,34950,1,11/18/15,11/17/16,2014,Chevrolet,Malibu,20052,1,1,1
3,3,183006.5,2018-03-26,4/9/18,0,5,41.86240243,-87.66641897,1780,0,3/19/17,3/19/18,2009,Toyota,Tundra,169668,0,1,0
5,1,141307.8,2016-05-14,5/16/16,1,1,41.96893861,-87.74793505,25160,1,10/4/15,10/3/16,2010,Jeep,Wrangler,137664,0,0,1
5,1,127433.6,2018-07-14,7/21/18,0,1,41.80747002,-87.61668477,42124.5,1,4/25/17,4/25/18,2006,Cadillac,XT5,126576,1,0,1
1,1,301827.8,2017-06-12,6/16/17,0,1,41.88023932,-87.75692869,37400,1,5/24/16,5/24/17,2004,Audi,Q5,290568,0,0,1
4,3,97080.8,2018-06-04,6/13/18,0,4,41.79346382,-87.58017457,1759.5,0,5/11/17,5/11/18,2009,Ford,Escape,94092,1,0,0
3,1,46759.4,2017-07-19,7/25/17,1,1,41.91692195,-87.73749169,34530,1,3/25/16,3/25/17,2015,Mercedes,E class,43044,0,0,1
2,3,321269.9,2017-05-27,6/6/17,0,1,41.67743887,-87.66123603,1860,0,9/5/16,9/5/17,2004,GMC,Acadia,307452,0,0,0
3,3,68089.2,2016-03-18,3/27/16,1,1,41.7505461,-87.67329258,1748,0,6/10/15,6/9/16,2013,Chevrolet,Traverse,63900,0,1,0
4,3,157437.3,2018-07-03,7/17/18,1,1,41.78534019,-87.70317432,2150,0,1/23/17,1/23/18,2011,Dodge,Challenger,155280,0,0,0
3,3,102688.3,2017-04-02,4/13/17,1,3,41.84111499,-87.68513204,1300,0,6/16/16,6/16/17,2012,Nissan,Sentra,98040,0,0,0
3,3,75841.1,2018-05-14,5/27/18,1,1,41.99772713,-87.69638984,2886.5,0,8/9/17,8/9/18,2012,Jeep,Grand Cherokee,64872,1,1,0
3,1,240252.6,2017-09-21,9/26/17,1,1,42.02169141,-87.67448165,37170,1,7/22/16,7/22/17,2006,Ford,F-150,231012,0,0,1
1,3,270617.8,2016-05-16,5/20/16,0,1,41.88563256,-87.62637276,2012.5,0,10/7/15,10/6/16,2005,Kia,Optima,263208,0,0,0
3,1,247487.7,2016-01-22,1/23/16,0,1,41.70773676,-87.59428861,30340,1,3/8/15,3/7/16,2006,Dodge,Charger,233040,0,0,1
5,3,134162.4,2016-05-29,6/1/16,0,1,41.91950909,-87.74604006,17070,0,1/2/15,1/2/16,2004,Hyundai,Santa Fe,124488,1,0,1
3,1,273888.2,2018-04-10,4/19/18,0,4,41.74376136,-87.61110685,3093.5,1,9/23/17,9/23/18,2004,Jeep,Cherokee,270672,0,0,0
3,3,372991.7,2018-10-24,11/3/18,1,2,41.89927701,-87.70261578,1630,0,6/16/17,6/16/18,2001,Chevrolet,Equinox,370164,0,0,0
3,3,101935.6,2016-12-13,12/21/16,0,1,41.89093109,-87.67703497,2060,0,6/25/15,6/24/16,2007,Nissan,Sentra,99576,1,0,0
3,3,191073,2017-07-03,7/6/17,0,1,41.75046031,-87.71180293,1640,0,7/16/16,7/16/17,2009,Ford,Explorer,177528,0,0,0
4,3,229887,2018-11-13,11/25/18,1,5,41.95358351,-87.74312523,1330,0,3/23/17,3/23/18,2006,Chevrolet,Traverse,222624,0,0,0
3,3,183135.2,2016-03-24,4/5/16,0,2,41.93031835,-87.66605647,1520,0,6/8/15,6/7/16,2008,Hyundai,Elantra,179904,0,0,0
2,1,221868.6,2017-03-06,3/19/17,1,2,41.84330771,-87.68550216,20080,1,8/19/16,8/19/17,2007,Subaru,Impreza,210744,0,0,1
5,3,111835.4,2017-11-29,12/8/17,1,1,41.75118129,-87.60482882,3093.5,0,4/14/16,4/14/17,2012,Chevrolet,Silverado,98460,0,0,0
4,3,302548.5,2018-01-08,1/14/18,0,1,41.94525519,-87.66896382,2010,0,1/15/17,1/15/18,2004,Nissan,Rogue,294456,0,0,0
1,3,285859.5,2017-02-27,3/4/17,0,1,41.93166402,-87.72808651,3323.5,0,2/9/16,2/8/17,2003,Dodge,Ram,278208,0,0,0
3,3,250772.2,2017-08-25,8/28/17,0,3,41.89969856,-87.74606148,2200,0,8/10/16,8/10/17,2004,GMC,Sierra,245556,0,0,0
4,3,164574.7,2017-06-29,7/8/17,0,1,41.92352953,-87.68420184,2852,0,3/23/16,3/23/17,2010,Toyota,Camry,153132,0,0,0
2,3,210076.7,2017-03-14,3/22/17,0,1,41.99200455,-87.75508595,1265,0,4/5/16,4/5/17,2008,Honda,Civic,197748,0,0,0
5,1,150642.2,2016-01-22,1/31/16,1,1,41.8784407,-87.6173488,29830,1,7/3/15,7/2/16,2009,Jeep,Compass,147084,0,0,1
4,3,202050.2,2016-03-08,3/14/16,1,1,41.95050216,-87.71428334,1380,0,9/7/15,9/6/16,2006,Toyota,Camry,200880,0,0,0
5,3,185134.9,2016-10-31,11/5/16,0,2,41.67463136,-87.62241,2740,0,1/27/15,1/27/16,2007,Hyundai,Elantra,180684,0,1,0
1,1,312527.4,2018-05-18,5/18/18,0,3,41.69111325,-87.70095361,29220,1,3/5/17,3/5/18,2004,Chrysler,300,308916,0,0,1
1,1,68190.2,2016-10-18,10/24/16,1,1,41.92411902,-87.74703214,30420,1,4/9/15,4/8/16,2013,Honda,CR-V,61596,0,0,1
3,1,69007.7,2016-11-12,11/15/16,1,1,41.89259323,-87.62433405,20360,1,8/16/15,8/15/16,2013,Nissan,Rogue,65088,0,1,1
5,3,193299.8,2017-02-04,2/7/17,0,1,41.88197522,-87.62609645,2219.5,0,4/1/16,4/1/17,2007,Honda,Fit,192300,0,0,0
1,1,383898.7,2016-03-29,4/6/16,0,1,41.710281,-87.6729626,29010,1,1/19/15,1/19/16,2000,Toyota,4Runner,374592,0,0,1
3,1,241882.5,2017-03-18,3/30/17,1,1,41.7748756,-87.72647101,32630,1,3/9/16,3/9/17,2006,GMC,Acadia,232992,0,0,1
2,2,233122.6,2018-12-28,1/9/19,0,1,41.77076231,-87.64461748,1670,0,2/25/17,2/25/18,2007,Ford,F-150,225036,0,0,0
1,1,132434.9,2017-09-01,9/10/17,1,1,41.87412181,-87.73512379,20458.5,1,8/18/16,8/18/17,2010,Honda,CR-V,129108,0,0,1
